OMGHAI!
-------- day 0 --------
name, sellIn, quality
+5 Dexterity Vest, 10, 20
, 10, 20
, 11, 20
Aged Brie, 0, 0
Backstage passes to a TAFKAL80ETC concert, 15, 50
Backstage passes to a TAFKAL80ETC concert, 15, 49
Backstage passes to a TAFKAL80ETC concert, 11, 49
Backstage passes to a TAFKAL80ETC concert, 10, 49
Backstage passes to a TAFKAL80ETC concert, 5, 49
Backstage passes to a TAFKAL80ETC concert, 6, 49
Backstage passes to a TAFKAL80ETC concert, 12, 48
Backstage passes to a TAFKAL80ETC concert, 11, 48
Backstage passes to a TAFKAL80ETC concert, 10, 48
Backstage passes to a TAFKAL80ETC concert, 5, 48
Backstage passes to a TAFKAL80ETC concert, 6, 48
Backstage passes to a TAFKAL80ETC concert, 6, 47
Backstage passes to a TAFKAL80ETC concert, 5, 47

-------- day 1 --------
name, sellIn, quality
+5 Dexterity Vest, 9, 19
, 9, 19
, 10, 19
Aged Brie, -1, 0
Backstage passes to a TAFKAL80ETC concert, 14, 50
Backstage passes to a TAFKAL80ETC concert, 14, 50
Backstage passes to a TAFKAL80ETC concert, 10, 50
Backstage passes to a TAFKAL80ETC concert, 9, 50
Backstage passes to a TAFKAL80ETC concert, 4, 50
Backstage passes to a TAFKAL80ETC concert, 5, 50
Backstage passes to a TAFKAL80ETC concert, 11, 49
Backstage passes to a TAFKAL80ETC concert, 10, 49
Backstage passes to a TAFKAL80ETC concert, 9, 50
Backstage passes to a TAFKAL80ETC concert, 4, 50
Backstage passes to a TAFKAL80ETC concert, 5, 50
Backstage passes to a TAFKAL80ETC concert, 5, 49
Backstage passes to a TAFKAL80ETC concert, 4, 50

-------- day 2 --------
name, sellIn, quality
+5 Dexterity Vest, 8, 18
, 8, 18
, 9, 18
Aged Brie, -2, 0
Backstage passes to a TAFKAL80ETC concert, 13, 50
Backstage passes to a TAFKAL80ETC concert, 13, 50
Backstage passes to a TAFKAL80ETC concert, 9, 50
Backstage passes to a TAFKAL80ETC concert, 8, 50
Backstage passes to a TAFKAL80ETC concert, 3, 50
Backstage passes to a TAFKAL80ETC concert, 4, 50
Backstage passes to a TAFKAL80ETC concert, 10, 50
Backstage passes to a TAFKAL80ETC concert, 9, 50
Backstage passes to a TAFKAL80ETC concert, 8, 50
Backstage passes to a TAFKAL80ETC concert, 3, 50
Backstage passes to a TAFKAL80ETC concert, 4, 50
Backstage passes to a TAFKAL80ETC concert, 4, 50
Backstage passes to a TAFKAL80ETC concert, 3, 50

-------- day 3 --------
name, sellIn, quality
+5 Dexterity Vest, 7, 17
, 7, 17
, 8, 17
Aged Brie, -3, 0
Backstage passes to a TAFKAL80ETC concert, 12, 50
Backstage passes to a TAFKAL80ETC concert, 12, 50
Backstage passes to a TAFKAL80ETC concert, 8, 50
Backstage passes to a TAFKAL80ETC concert, 7, 50
Backstage passes to a TAFKAL80ETC concert, 2, 50
Backstage passes to a TAFKAL80ETC concert, 3, 50
Backstage passes to a TAFKAL80ETC concert, 9, 50
Backstage passes to a TAFKAL80ETC concert, 8, 50
Backstage passes to a TAFKAL80ETC concert, 7, 50
Backstage passes to a TAFKAL80ETC concert, 2, 50
Backstage passes to a TAFKAL80ETC concert, 3, 50
Backstage passes to a TAFKAL80ETC concert, 3, 50
Backstage passes to a TAFKAL80ETC concert, 2, 50

-------- day 4 --------
name, sellIn, quality
+5 Dexterity Vest, 6, 16
, 6, 16
, 7, 16
Aged Brie, -4, 0
Backstage passes to a TAFKAL80ETC concert, 11, 50
Backstage passes to a TAFKAL80ETC concert, 11, 50
Backstage passes to a TAFKAL80ETC concert, 7, 50
Backstage passes to a TAFKAL80ETC concert, 6, 50
Backstage passes to a TAFKAL80ETC concert, 1, 50
Backstage passes to a TAFKAL80ETC concert, 2, 50
Backstage passes to a TAFKAL80ETC concert, 8, 50
Backstage passes to a TAFKAL80ETC concert, 7, 50
Backstage passes to a TAFKAL80ETC concert, 6, 50
Backstage passes to a TAFKAL80ETC concert, 1, 50
Backstage passes to a TAFKAL80ETC concert, 2, 50
Backstage passes to a TAFKAL80ETC concert, 2, 50
Backstage passes to a TAFKAL80ETC concert, 1, 50

-------- day 5 --------
name, sellIn, quality
+5 Dexterity Vest, 5, 15
, 5, 15
, 6, 15
Aged Brie, -5, 0
Backstage passes to a TAFKAL80ETC concert, 10, 50
Backstage passes to a TAFKAL80ETC concert, 10, 50
Backstage passes to a TAFKAL80ETC concert, 6, 50
Backstage passes to a TAFKAL80ETC concert, 5, 50
Backstage passes to a TAFKAL80ETC concert, 0, 50
Backstage passes to a TAFKAL80ETC concert, 1, 50
Backstage passes to a TAFKAL80ETC concert, 7, 50
Backstage passes to a TAFKAL80ETC concert, 6, 50
Backstage passes to a TAFKAL80ETC concert, 5, 50
Backstage passes to a TAFKAL80ETC concert, 0, 50
Backstage passes to a TAFKAL80ETC concert, 1, 50
Backstage passes to a TAFKAL80ETC concert, 1, 50
Backstage passes to a TAFKAL80ETC concert, 0, 50

-------- day 6 --------
name, sellIn, quality
+5 Dexterity Vest, 4, 14
, 4, 14
, 5, 14
Aged Brie, -6, 0
Backstage passes to a TAFKAL80ETC concert, 9, 50
Backstage passes to a TAFKAL80ETC concert, 9, 50
Backstage passes to a TAFKAL80ETC concert, 5, 50
Backstage passes to a TAFKAL80ETC concert, 4, 50
Backstage passes to a TAFKAL80ETC concert, -1, 0
Backstage passes to a TAFKAL80ETC concert, 0, 50
Backstage passes to a TAFKAL80ETC concert, 6, 50
Backstage passes to a TAFKAL80ETC concert, 5, 50
Backstage passes to a TAFKAL80ETC concert, 4, 50
Backstage passes to a TAFKAL80ETC concert, -1, 0
Backstage passes to a TAFKAL80ETC concert, 0, 50
Backstage passes to a TAFKAL80ETC concert, 0, 50
Backstage passes to a TAFKAL80ETC concert, -1, 0

-------- day 7 --------
name, sellIn, quality
+5 Dexterity Vest, 3, 13
, 3, 13
, 4, 13
Aged Brie, -7, 0
Backstage passes to a TAFKAL80ETC concert, 8, 50
Backstage passes to a TAFKAL80ETC concert, 8, 50
Backstage passes to a TAFKAL80ETC concert, 4, 50
